event_id,teacher_id,week_start,event_type,event_count
E00001,U001,2024-03-04,plan_viewed,11
E00002,U001,2024-03-04,plan_shared,1
E00003,U001,2024-09-30,plan_created,2
E00004,U001,2024-07-15,plan_viewed,6
E00005,U001,2024-07-15,plan_created,11
E00006,U001,2024-07-15,plan_shared,11
E00007,U001,2024-04-01,plan_shared,2
E00008,U001,2024-04-01,login,10
E00009,U001,2024-10-07,login,11
E00010,U001,2024-11-11,plan_viewed,4
E00011,U001,2024-11-11,feedback_given,10
E00012,U001,2024-11-11,plan_created,2
E00013,U002,2024-07-29,feedback_given,4
E00014,U002,2024-07-29,plan_shared,3
E00015,U002,2024-07-29,login,2
E00016,U002,2024-05-20,plan_viewed,8
E00017,U002,2024-09-02,login,8
E00018,U002,2024-09-02,plan_created,9
E00019,U002,2024-08-12,plan_created,7
E00020,U002,2024-08-12,plan_viewed,8
E00021,U002,2024-08-12,feedback_given,11
E00022,U002,2024-06-17,plan_shared,8
E00023,U002,2024-06-17,plan_viewed,12
E00024,U002,2024-08-12,plan_created,12
E00025,U002,2024-08-12,login,11
E00026,U002,2024-03-25,plan_shared,7
E00027,U002,2024-03-25,plan_viewed,5
E00028,U002,2024-03-25,feedback_given,11
E00029,U002,2024-08-12,plan_created,7
E00030,U002,2024-08-12,plan_shared,1
E00031,U002,2024-08-12,feedback_given,7
E00032,U002,2024-06-24,plan_created,5
E00033,U002,2024-06-24,plan_shared,4
E00034,U002,2024-05-13,plan_viewed,1
E00035,U002,2024-05-13,feedback_given,5
E00036,U002,2024-04-08,feedback_given,6
E00037,U002,2024-04-08,login,12
E00038,U002,2024-09-09,plan_shared,12
E00039,U003,2024-08-26,plan_viewed,7
E00040,U003,2024-10-07,login,12
E00041,U003,2024-10-07,plan_viewed,1
E00042,U003,2024-10-07,plan_shared,1
E00043,U003,2024-04-01,feedback_given,7
E00044,U003,2024-04-01,plan_shared,4
E00045,U003,2024-04-01,plan_created,11
E00046,U003,2024-05-27,login,2
E00047,U003,2024-05-27,plan_created,3
E00048,U003,2024-04-29,plan_shared,8
E00049,U003,2024-04-29,feedback_given,8
E00050,U003,2024-04-29,login,12
E00051,U003,2024-03-11,plan_shared,5
E00052,U003,2024-03-11,plan_viewed,4
E00053,U003,2024-02-19,plan_viewed,7
E00054,U003,2024-02-19,plan_shared,7
E00055,U003,2024-09-23,plan_created,1
E00056,U003,2024-09-16,login,8
E00057,U003,2024-09-16,plan_shared,4
E00058,U003,2024-09-16,plan_created,5
E00059,U003,2024-03-25,feedback_given,10
E00060,U004,2025-07-14,plan_shared,6
E00061,U004,2025-07-14,plan_created,3
E00062,U004,2025-06-30,plan_created,12
E00063,U004,2025-06-09,feedback_given,2
E00064,U004,2025-06-09,login,4
E00065,U004,2025-01-20,plan_viewed,5
E00066,U004,2025-05-26,plan_shared,4
E00067,U004,2025-05-26,feedback_given,10
E00068,U004,2025-01-20,plan_shared,3
E00069,U004,2025-01-20,feedback_given,7
E00070,U004,2024-12-23,plan_viewed,5
E00071,U004,2025-02-03,feedback_given,10
E00072,U004,2025-02-03,plan_shared,11
E00073,U004,2025-02-03,login,11
E00074,U004,2025-05-12,plan_created,8
E00075,U004,2024-12-16,feedback_given,12
E00076,U004,2024-12-16,plan_shared,7
E00077,U004,2025-04-28,login,2
E00078,U004,2025-04-28,plan_viewed,9
E00079,U004,2025-04-28,plan_created,1
E00080,U004,2024-11-11,plan_shared,6
E00081,U004,2024-11-11,feedback_given,10
E00082,U004,2025-07-14,plan_created,9
E00083,U004,2025-07-14,login,10
E00084,U004,2025-07-14,plan_shared,7
E00085,U004,2025-03-03,plan_viewed,9
E00086,U004,2025-03-03,plan_shared,1
E00087,U004,2025-07-07,plan_viewed,3
E00088,U005,2025-03-31,feedback_given,2
E00089,U005,2025-03-31,plan_shared,6
E00090,U005,2025-04-14,plan_shared,2
E00091,U005,2025-04-14,plan_viewed,6
E00092,U005,2024-09-09,feedback_given,5
E00093,U005,2025-02-03,plan_viewed,10
E00094,U005,2025-02-03,login,5
E00095,U005,2025-04-14,feedback_given,6
E00096,U005,2025-04-14,plan_shared,12
E00097,U005,2025-03-31,login,11
E00098,U005,2025-06-02,plan_created,3
E00099,U005,2025-06-02,plan_shared,1
E00100,U005,2024-12-02,plan_created,8
E00101,U005,2024-12-16,feedback_given,7
E00102,U005,2024-10-14,plan_created,6
E00103,U005,2024-10-14,feedback_given,12
E00104,U005,2025-04-28,feedback_given,2
E00105,U005,2025-04-28,login,12
E00106,U005,2024-10-28,plan_viewed,2
E00107,U005,2024-11-25,plan_shared,12
E00108,U005,2024-11-25,login,9
E00109,U005,2024-12-23,login,1
E00110,U005,2024-12-23,plan_shared,9
E00111,U005,2024-12-23,plan_viewed,10
E00112,U005,2024-11-11,plan_created,8
E00113,U005,2024-11-11,plan_shared,11
E00114,U005,2024-10-07,plan_created,11
E00115,U005,2024-10-07,plan_viewed,11
E00116,U005,2024-10-14,plan_viewed,6
E00117,U005,2024-10-14,plan_created,3
E00118,U005,2024-09-02,feedback_given,12
E00119,U006,2024-10-21,plan_viewed,6
E00120,U006,2024-10-21,plan_created,1
E00121,U006,2024-12-23,plan_viewed,4
E00122,U006,2024-12-23,plan_shared,1
E00123,U006,2024-07-29,plan_created,9
E00124,U006,2024-07-29,login,10
E00125,U006,2024-09-09,feedback_given,5
E00126,U006,2024-06-10,feedback_given,2
E00127,U006,2024-04-01,plan_shared,7
E00128,U006,2024-09-16,plan_shared,5
E00129,U006,2024-09-16,plan_created,8
E00130,U006,2024-09-30,plan_viewed,11
E00131,U006,2024-09-30,plan_shared,2
E00132,U006,2024-09-30,feedback_given,6
E00133,U006,2024-11-04,feedback_given,8
E00134,U006,2024-09-09,plan_viewed,2
E00135,U006,2024-09-09,feedback_given,7
E00136,U006,2024-09-02,plan_shared,7
E00137,U006,2024-09-02,feedback_given,2
E00138,U006,2024-09-02,plan_viewed,1
E00139,U006,2024-11-04,feedback_given,11
E00140,U006,2024-11-04,plan_shared,11
E00141,U006,2024-05-27,login,5
E00142,U006,2024-05-27,plan_created,8
E00143,U006,2024-09-30,feedback_given,5
E00144,U006,2024-05-27,plan_viewed,4
E00145,U006,2024-11-11,plan_viewed,9
E00146,U006,2024-11-11,plan_created,2
E00147,U006,2024-04-08,plan_created,2
E00148,U006,2024-04-08,feedback_given,8
E00149,U006,2024-04-08,plan_shared,11
E00150,U006,2024-12-02,plan_viewed,10
E00151,U006,2024-12-02,login,2
E00152,U006,2024-11-04,plan_created,12
E00153,U006,2024-10-14,plan_shared,7
E00154,U006,2024-04-08,feedback_given,12
E00155,U006,2024-08-05,login,11
E00156,U006,2024-08-05,feedback_given,8
E00157,U006,2024-12-23,plan_viewed,4
E00158,U006,2024-12-23,plan_shared,3
E00159,U007,2025-10-13,plan_created,9
E00160,U007,2025-10-13,feedback_given,1
E00161,U007,2025-01-20,plan_created,3
E00162,U007,2025-01-20,login,11
E00163,U007,2025-08-18,feedback_given,5
E00164,U007,2025-08-18,login,10
E00165,U007,2025-10-20,feedback_given,2
E00166,U007,2025-10-20,plan_viewed,3
E00167,U008,2024-07-01,plan_created,1
E00168,U008,2024-09-23,plan_shared,8
E00169,U008,2024-09-02,plan_shared,9
E00170,U008,2024-09-02,feedback_given,4
E00171,U008,2024-09-02,plan_viewed,2
E00172,U008,2024-11-11,plan_shared,7
E00173,U008,2024-11-11,feedback_given,1
E00174,U008,2024-08-19,plan_shared,12
E00175,U008,2025-01-13,feedback_given,8
E00176,U008,2025-01-13,plan_created,10
E00177,U010,2025-02-17,login,1
E00178,U010,2025-02-17,feedback_given,6
E00179,U010,2024-11-25,feedback_given,7
E00180,U010,2025-06-30,login,8
E00181,U010,2025-06-30,plan_viewed,7
E00182,U010,2025-06-30,plan_created,8
E00183,U010,2025-07-07,login,12
E00184,U010,2025-07-07,feedback_given,1
E00185,U010,2025-07-07,plan_created,9
E00186,U010,2024-12-02,login,9
E00187,U010,2024-12-02,plan_viewed,2
E00188,U010,2025-03-24,feedback_given,8
E00189,U010,2025-03-24,login,10
E00190,U010,2025-03-24,plan_created,11
E00191,U010,2025-04-28,feedback_given,3
E00192,U010,2025-04-28,plan_created,5
E00193,U010,2025-02-17,plan_viewed,4
E00194,U010,2025-02-17,feedback_given,9
E00195,U010,2025-03-03,plan_viewed,5
E00196,U010,2025-03-03,feedback_given,12
E00197,U010,2025-03-03,plan_created,12
E00198,U011,2024-08-05,plan_viewed,10
E00199,U011,2024-08-05,feedback_given,4
E00200,U011,2024-08-05,plan_created,5
E00201,U011,2024-03-11,feedback_given,4
E00202,U011,2024-03-11,plan_shared,3
E00203,U011,2024-03-11,plan_created,10
E00204,U011,2024-09-09,feedback_given,8
E00205,U011,2024-06-17,plan_shared,9
E00206,U011,2024-02-26,plan_viewed,5
E00207,U011,2024-07-08,plan_shared,1
E00208,U011,2024-07-08,login,2
E00209,U011,2024-07-08,plan_viewed,6
E00210,U011,2024-08-12,login,4
E00211,U011,2024-03-25,plan_shared,6
E00212,U011,2024-03-25,feedback_given,6
E00213,U011,2024-03-25,login,1
E00214,U011,2024-10-07,plan_shared,12
E00215,U011,2024-10-07,plan_created,1
E00216,U011,2024-08-19,plan_created,10
E00217,U011,2024-08-19,login,10
E00218,U011,2024-03-18,plan_created,11
E00219,U011,2024-03-18,login,2
E00220,U011,2024-03-18,feedback_given,4
E00221,U011,2024-07-15,plan_viewed,12
E00222,U011,2024-08-19,feedback_given,11
E00223,U011,2024-08-19,plan_created,6
E00224,U011,2024-08-19,login,6
E00225,U011,2024-04-01,plan_shared,8
E00226,U013,2024-07-08,feedback_given,6
E00227,U013,2024-11-11,plan_shared,6
E00228,U013,2024-11-11,plan_created,12
E00229,U013,2024-11-11,login,7
E00230,U013,2024-12-16,plan_shared,7
E00231,U013,2024-12-16,login,4
E00232,U013,2024-12-16,plan_viewed,3
E00233,U013,2025-01-13,feedback_given,9
E00234,U013,2025-01-13,login,11
E00235,U013,2024-12-16,feedback_given,3
E00236,U013,2024-07-08,login,6
E00237,U013,2024-07-08,plan_created,6
E00238,U013,2024-07-08,feedback_given,7
E00239,U013,2024-09-16,plan_created,1
E00240,U013,2024-09-16,feedback_given,11
E00241,U013,2024-09-09,plan_created,7
E00242,U013,2024-09-09,plan_viewed,11
E00243,U013,2024-09-09,plan_shared,12
E00244,U013,2025-03-10,plan_viewed,1
E00245,U013,2025-03-10,login,5
E00246,U013,2025-02-24,plan_shared,11
E00247,U013,2025-02-24,feedback_given,4
E00248,U013,2025-02-24,login,9
E00249,U013,2025-04-07,feedback_given,7
E00250,U013,2025-04-07,plan_viewed,4
E00251,U013,2025-04-07,login,5
E00252,U013,2024-08-12,login,6
E00253,U013,2024-12-23,plan_shared,2
E00254,U013,2024-12-23,plan_viewed,9
E00255,U013,2024-12-23,plan_created,9
